product name,price,discount,reviews
Absolut Absolut Vodka Blue - 750ml,"KSh 1,859",,4.6 out of 5(23)
Fashion 17 Pcs Golden Rings Women Bohemian Rings Jewelry,KSh 220,,3.9 out of 5(784)
"Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver","KSh 10,700",5%,4.7 out of 5(472)
Dark And Lovely Waterless Cleanser 250 Ml,KSh 595,,4.6 out of 5(283)
"XIAOMI Redmi 12C, 6.71"", 4GB + 128GB, 50MP CAM, 5000mAh, Grey + Free Gifts","KSh 16,998",43%,3.8 out of 5(30)
Generic 3Pcs/Set High Clarity Clear LCD Screen Protector Films For-,KSh 42,48%,5 out of 5(3)
Generic 10kg Digital Kitchen Electronic Cooking Weighing Scale,KSh 595,26%,4.4 out of 5(515)
Wlisth Luminous Tungsten Steel  Waterproof Fashion Couple Watch Calendar Quartz Watch,KSh 999,12%,4.5 out of 5(36)
Ushindi Ushindi Multi Purpose Bar Soap - 1kg,KSh 189,24%,4.7 out of 5(87)
Ramtons RM/399-Corded Electric Kettle 1.7 Ltrs- White,"KSh 1,700",6%,4.4 out of 5(701)
Nova 2 In 1 Hair Straightener Curling Iron-Gold,KSh 847,49%,3.8 out of 5(818)
Master Chef Premium Vegetable Cooking Oil - 5 Litres,"KSh 1,676",,4.6 out of 5(89)
Nunix Best Portable Electric Room Heater With Over Heat Protection,"KSh 2,099",48%,3.8 out of 5(35)
Fashion Mens Casual Trousers Jogger Jean Sports Sweat Pants Official - Grey,KSh 880,47%,4.2 out of 5(57)
"Vitron 4388FS,43"" Inch FRAMELESS Smart Android TV Netflix + 4 GIFTS","KSh 23,995",31%,4.3 out of 5(313)
"Generic Tongue Scraper /Tongue Cleaner, Stainless Steel",KSh 350,50%,4.2 out of 5(16)
Amaze Fridge/Freezer Guard-UnderVoltage&Surge Protection,KSh 675,33%,4.3 out of 5(380)
Generic Remote Bluetooth Selfie Stick +Tripod Stand + Fill Light  Multiple Function,KSh 730,27%,4.3 out of 5(62)
Generic Set Of 2 Bed Pillows (Pair- Pure Fibre Filled),KSh 749,32%,4.3 out of 5(450)
Fashion Men's 2 In 1 Short Sleeve T-Shirt & Shorts Set- Black,KSh 833 - KSh 850,41%,3.6 out of 5(14)
